RaceNo.,Distance,Stake,Date,Race Class,Course,Course Direction,HNO,LPSNS,HORSE,SEX,AGE,BARRIER,JCKWGHT,JOCKEY,ALLOWANCE,JCKYRTNG,TRAINER,Location,STARTS,WINS,SECONDS,THIRDS,FRTHS,Earnings,Avgerage earnings,Win %,Plc %,Days since last start,LftR,LftW,LftP,RgtR,RgtW,RgtP,FastR,FastW,FastP,EsyR,EsyW,EsyP,SftR,SftW,SftP,HvyR,HvyW,HvyP,CrseR,CrseW,CrseP,DedR,DedW,DedP,DstR,DstW,DstP,F90R,F90W,F90P,F30R,F30W,F30P,2UpR,2UpW,2UpP,FavR,FavW,FavP,L12R,L12W,L12S,L12T,L12W%,L12P%,L12est,LTk6,LTk5,LTk4,LTk3,LTk2,LTk1,LDate6,LDate5,LDate4,LDate3,LDate2,LDate1,L126,L125,L124,L123,L122,L121,LPos6,LPos5,LPos4,LPos3,LPos2,LPos1,LFSize6,LFSize5,LFSize4,LFSize3,LFSize2,LFSize1,LTkCond6,LTkCond5,LTkCond4,LTkCond3,LTkCond2,LTkCond1,LClass6,LClass5,LClass4,LClass3,LClass2,LClass1,LPrz6,LPrz5,LPrz4,LPrz3,LPrz2,LPrz1,LTkLn6,LTkLn5,LTkLn4,LTkLn3,LTkLn2,LTkLn1,LJcky6,LJcky5,LJcky4,LJcky3,LJcky2,LJcky1,LWgt6,LWgt5,LWgt4,LWgt3,LWgt2,LWgt1,LBarr6,LBarr5,LBarr4,LBarr3,LBarr2,LBarr1,LWFav6,LWFav5,LWFav4,LWFav3,LWFav2,LWFav1,LPFav6,LPFav5,LPFav4,LPFav3,LPFav2,LPFav1,LWDiv6,LWDiv5,LWDiv4,LWDiv3,LWDiv2,LWDiv1,LTkDir6,LTkDir5,LTkDir4,LTkDir3,LTkDir2,LTkDir1,LWnnr6,LWnnr5,LWnnr4,LWnnr3,LWnnr2,LWnnr1,LTime6,LTime5,LTime4,LTime3,LTime2,LTime1,LLag6,LLag5,LLag4,LLag3,LLag2,LLag1,TCONDS,TFS,FAV, WDIv , PDiv ,Finish
8,2400,"$40,000",24-Jan-15,OPN RATING 85 54.00,Trentham,1,11,80220,Lady Platinum,m,6,2,54,Lisa Allpress,,68,Lisa Latta,Awapuni,39,3,6,4,5,"$48,385.00","$1,240",8%,33%,14,39,3,10,0,0,0,0,0,0,19,1,7,4,0,1,0,0,0,8,0,1,16,2,2,4,0,1,4,0,1,4,0,1,4,1,0,2,1,0,15,1,2,3,7%,40%,"$19,850",WGUI,TREN,TREN,OTAK,TAUH,AWAP,2-Oct-14,25-Oct-14,6-Dec-14,18-Dec-14,2-Jan-15,10-Jan-15,0,0,0,0,0,0,8,8,16,2,2,12,15,13,18,8,10,12,D5,D4,D4,S8,G3,D4,Rating 75 Benchmark,Rating 85 Benchmark,Rating 75 Benchmark,Rating 75 Benchmark,Rating 75 Benchmark,Gp4 OPN HCP,"$8,000","$30,000","$30,000","$8,000","$15,000","$55,000",2040,2400,1600,2100,2050,2200,M Dee,M Dee,M Dravitzki,M Dee,M Dee,R Hannam,54.5,54->,54->,54,54,53,8,9,18,4,3,2,4,7,17,3,4,10,3,7,17,4,3,10,$7.80,$10.60,$66.00,$6.50,$6.50,$34.40,1,1,1,1,1,1,Nancylee,Sampson,Sanasar,Perfect Mix,Zimmzee,Just The Tip,128.55,151.43,96.29,135.94,125.68,135.34,7.2,7.3,9.8,2.8,2.3,13.5,1,12,11,$18.70,$4.60,12
8,2400,"$40,000",24-Jan-15,OPN RATING 85 54.00,Trentham,1,12,45011,Tequila Sunrise,m,4,9,54,Rosie Myers,,67,Janelle Millar,New Plymouth,15,2,1,1,2,"$20,950.00","$1,396",13%,27%,14,15,2,2,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,2,0,0,9,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,10,2,1,0,20%,30%,"$19,900",WDVL,OTAK,NPLY,TREN,NPLY,AWAP,16-Oct-14,4-Nov-14,21-Nov-14,6-Dec-14,22-Dec-14,10-Jan-15,1,2,0,0,0,0,6,4,5,14,1,1,14,16,10,17,11,9,G3,D5,D5,D4,D5,D4,B.Off MDN,B.On MDN 4YO&UP,MDN,SP COND,MDN,SP COND,"$7,000","$7,000","$7,000","$30,000","$7,000","$20,000",1400,1400,1600,1600,2000,2100,C Dell,K Chiong,R Myers,V Colgan,R Myers,R Myers,56.5,56.5,56.5,55,56.5,56,4,4,4,3,3,3,2,4,2,10,3,3,2,5,3,10,3,3,$6.20,$7.60,$4.10,$19.20,$7.00,$6.20,1,1,1,1,2,2,Poster Girl,Spanish Gold,A Red Prince,Endeavour,Chonney,Freelinks,84.68,84.12,97.19,98.48,124.36,130.72,5.9,2.4,1.5,7.8,3.3,0.4,1,12,7,$13.40,$4.00,4
10,1600,"$40,000",24-Jan-15,OPN RATING 85 54.00,Trentham,1,1,37251,Mato Grosso,e,5,7,59,Robert Hannam,,84,Louise Saunders,Pukekohe,31,4,6,3,3,"$73,585.00","$2,373",13%,42%,14,14,2,6,17,2,3,0,0,0,19,2,5,1,0,0,0,0,0,1,0,1,11,2,4,18,2,6,4,1,0,1,0,0,4,1,1,0,0,0,14,2,4,2,14%,57%,"$49,775",AWAP,WGUI,TE R,AWAP,ELLS,AWAP,11-Nov-14,29-Nov-14,13-Dec-14,20-Dec-14,1-Jan-15,10-Jan-15,0,0,0,0,0,0,2,3,7,2,5,1,10,9,9,10,16,9,D4,D5,G3,G3,G3,D4,Rating 85 Benchmark,Rating 85 Benchmark,Rating 85 Benchmark,Rating 85 Benchmark,Rating 85 Benchmark,Rating 85 Benchmark,"$20,000","$20,000","$30,000","$30,000","$75,000","$30,000",1600,1600,1600,2000,2200,1600,C Lammas,R Hannam,O Bosson,K Myers,K Myers,R Hannam,55,55.5,57,57,57.5,58,4,5,6,8,16,5,,3,4,6,15,4,,3,4,6,15,3,,$6.00,$7.50,$13.10,$52.40,$9.70,1,1,1,1,1,2,Weregoingtogetcha (AUS),Brave Kat,Pondarosa Miss,Maygrove (AUS),Awesome Goal,Gustavo,97.95,96.92,94.65,123.51,137.8,95.01,1.3,1.1,4.7,0.4,2.5,3.3,1,10,5,$11.40,$3.20,2
10,1600,"$40,000",24-Jan-15,OPN RATING 85 54.00,Trentham,1,2,X5462,Red Mafia,g,9,2,57.5,Buddy Lammas,,81,Peter Larmer,Levin,39,5,7,8,3,"$74,700.00","$1,915",13%,51%,56,38,5,15,1,0,0,0,0,0,12,0,3,9,3,3,8,1,4,6,1,1,10,1,5,16,2,5,9,2,4,7,1,3,7,0,2,7,0,4,7,1,1,0,14%,29%,"$10,825",OTAK,HAST,WDVL,AWAP,AWAP,WGUI,20-Jun-14,17-Jul-14,16-Oct-14,1-Nov-14,11-Nov-14,29-Nov-14,2,0,1,2,0,0,8,1,5,4,6,2,10,9,8,10,10,9,H1,S8,G3,D4,D4,D5,OPN HCP,B.On Rating 85 Benchmark,Rating 85 Benchmark,Rating 85 Benchmark,Rating 85 Benchmark,Rating 85 Benchmark,"$15,000","$8,000","$8,000","$20,000","$20,000","$20,000",1200,1400,1600,1600,1600,1600,M Dee,R Myers,R Hutchings,R Myers,R Myers,C Johnson,54->,55.5,57.5,58,57.5,56.5,8,6,2,10,1,3,9,6,2,7,,5,8,6,2,7,,5,$22.40,$7.90,$5.40,$14.00,$9.70,$8.70,1,2,1,1,1,1,The Lone Ranger,Polly Flinders,Centre Attention,Coastal Express,Weregoingtogetcha (AUS),Brave Kat,78.17,84.84,97.44,96.67,97.95,96.92,7.9,0.2,3.2,1.8,5,0.1,1,10,10,$33.50,$7.00,10
10,1600,"$40,000",24-Jan-15,OPN RATING 85 54.00,Trentham,1,3,X5611,Fast Learner,g,4,9,57,Leith Innes,,80,Richard Collett,Pukekohe,11,4,2,1,1,"$51,125.00","$4,647",36%,64%,23,4,1,2,7,3,1,0,0,0,5,3,0,2,0,2,0,0,0,0,0,0,4,1,1,4,3,0,2,1,0,2,0,2,2,0,0,1,0,1,7,2,2,1,29%,71%,"$37,575",ELLS,TE R,TE R,ELLS,BB TE R,ELLS,21-Apr-14,17-May-14,8-Nov-14,29-Nov-14,20-Dec-14,1-Jan-15,0,0,1,2,0,0,2,3,5,6,1,1,7,8,12,15,15,12,S8,S7,G3,D4,G3,G3,3YO SW+P,3YO SW+P,Rating 75 Benchmark,Rating 75 Benchmark,Rating 75 Benchmark,Rating 75 Benchmark,"$15,000","$15,000","$18,000","$25,000","$18,000","$30,000",1400,1200,1200,1400,1600,1600,L Innes,O Bosson,D Nolan,A Collett,A Collett,Z Moki,58.5,58.5,58,57.5,57,59->,1,4,4,6,8,11,1,2,6,4,2,3,1,2,7,4,3,3,$3.00,$7.00,$18.20,$8.60,$4.70,$6.70,1,1,1,1,2,2,Sakhee's Soldier,Allez Eagle,Tomorrowland,Sports Illustrated,Miss Foxwood (AUS),Gustavo,88.28,72.53,68.82,84,94.48,94.58,2.3,2.8,2.3,1.9,0.5,0.3,1,10,1,$3.60,$1.70,1
10,1600,"$40,000",24-Jan-15,OPN RATING 85 54.00,Trentham,1,4,75734,Shezgorgeous,m,6,6,55,Vanessa Johnston,,80,Patrick Campbell,Hastings,33,4,4,4,4,"$81,500.00","$2,469",12%,36%,7,33,4,8,0,0,0,1,0,0,13,1,3,2,0,0,4,2,1,13,3,1,13,1,4,6,0,3,5,1,1,3,0,0,4,1,0,5,0,1,13,0,1,3,0%,31%,"$17,100",TREN,AWAP,TREN,OTAK,HAST,TREN,25-Oct-14,1-Nov-14,6-Dec-14,18-Dec-14,1-Jan-15,17-Jan-15,2,0,0,0,0,0,9,7,5,7,3,4,12,12,11,7,7,6,D4,D4,D4,S8,G3,G3,Rating 85 Benchmark,OPN HCP,Rating 85 Benchmark,Rating 85 Benchmark,OPN HCP,Rating 85 Benchmark,"$30,000","$25,000","$30,000","$8,000","$15,000","$30,000",1200,1400,1400,1400,1400,1400,A Taylor,N Teeluck,C Johnson,C Johnson,V Johnston,V Johnston,55.5,54->,54.5,56.5,54,56.5,12,5,10,6,2,4,7,7,8,2,6,5,7,7,8,2,6,5,$17.80,$15.30,$23.80,$4.00,$13.90,$9.40,1,1,1,1,1,1,Kawi,McLaren,Mighty Solomon,Good One Glady,Silverdale,Moozoon,68.87,83.44,84.81,86.46,82.39,83.19,8.1,4.8,3,9.8,4.3,2.8,1,10,8,$22.30,$5.00,9
10,1600,"$40,000",24-Jan-15,OPN RATING 85 54.00,Trentham,1,5,15212,Diamantine,m,4,10,54,Rosie Myers,,78,John Wheeler,New Plymouth,19,3,6,1,2,"$38,185.00","$2,009",16%,53%,13,19,3,7,0,0,0,0,0,0,6,0,3,3,1,1,2,0,0,4,0,1,8,2,3,7,1,3,4,0,2,2,0,0,4,0,2,2,1,1,10,2,4,0,20%,60%,"$28,485",BB TREN,AWAP,TREN,NPLY,NPLY,HAWE,25-Oct-14,22-Nov-14,6-Dec-14,22-Dec-14,27-Dec-14,11-Jan-15,0,0,0,0,0,0,12,1,5,2,1,2,18,13,18,10,8,6,D4,D4,D4,D5,D4,G3,Rating 65 Benchmark*,Rating 65 Benchmark*,Rating 75 Benchmark,Rating 85 Benchmark,Rating 75 Benchmark,Rating 75 Benchmark,"$20,000","$17,000","$30,000","$8,000","$8,000","$8,000",1400,1600,1600,1800,2000,1600,M Dravitzki,J Parkes,J Parkes,K Myers,J Parkes,J Parkes,58.5,58,55,54,56.5,59,15,3,10,2,6,5,4,2,4,1,1,2,5,2,5,1,1,2,$11.30,$5.40,$11.40,$3.70,$2.60,$4.30,1,2,1,1,2,1,Cassie Anne,Mash,Sanasar,All The Way,Landlord,Genius,84.23,98.87,96.29,111.71,121.37,96.43,5.4,2.5,1.8,0.3,1.8,2.5,1,10,6,$12.70,$3.50,7
10,1600,"$40,000",24-Jan-15,OPN RATING 85 54.00,Trentham,1,6,58213,Miss Alice,m,4,4,54,Chris Johnson,,78,J & K Parsons,Balcairn,15,4,4,2,1,"$50,560.00","$3,370",27%,67%,7,15,4,6,0,0,0,0,0,0,8,1,4,1,1,0,2,0,1,1,0,1,4,2,1,2,0,0,2,1,1,2,1,1,2,1,1,6,4,2,14,4,3,2,29%,64%,"$48,160",BB RICC,RICC,BB CROM,WTUI,KURO,TREN,8-Nov-14,15-Nov-14,30-Nov-14,26-Dec-14,30-Dec-14,17-Jan-15,0,0,0,0,0,0,2,5,8,2,1,3,11,18,14,13,9,6,G3,G3,G3,G3,D4,G3,Rating 75 Benchmark,Rating 75 Benchmark,Rating 75 Benchmark,Rating 75 Benchmark,B.On Rating 75 Benchmark,Rating 85 Benchmark,"$30,000","$40,000","$18,000","$18,000","$10,000","$30,000",1400,1600,1400,1400,1400,1400,C Johnson,C Johnson,C Johnson,G Jogoo,C Johnson,S Clipperton,55.5,56,55.5,55->,56,55.5,8,12,11,5,2,5,2,2,2,3,1,3,2,2,2,3,1,3,$4.40,$8.80,$4.00,$5.00,$2.90,$5.90,1,1,1,1,2,1,Zah Girl,Zah Girl,Tommy Tucker,Berenice (AUS),Ishipal,Moozoon,83.84,97.85,84.6,83.73,85.51,83.19,2.5,4.1,3.2,0.1,1.3,2.7,1,10,7,$15.60,$4.10,6
10,1600,"$40,000",24-Jan-15,OPN RATING 85 54.00,Trentham,1,7,5X222,Ultraviolet,m,4,3,54,Danielle Johnson,,77,P & D Williams,Byerley Pk Karaka,7,2,4,0,0,"$35,325.00","$5,046",29%,86%,27,1,1,0,6,1,4,0,0,0,6,2,3,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,2,0,2,1,0,1,2,1,1,4,1,3,5,1,3,0,20%,80%,"$29,550",BB AVON,BB TE R,ELLS,BB ELLS,BB ELLS,ELLS,13-Jan-14,1-Feb-14,1-Mar-14,25-Oct-14,29-Nov-14,28-Dec-14,2,0,0,1,2,0,1,1,5,2,2,2,7,11,7,14,15,10,G3,G3,G3,G3,D4,G3,MDN 3YO,Rating 65 Benchmark Fillies and Mares*,3YO SW+P,Rating 75 Benchmark,Rating 75 Benchmark,Rating 85 Benchmark,"$7,000","$25,000","$50,000","$20,000","$25,000","$20,000",1400,1400,1600,1200,1400,1600,D Johnson,O Bosson,D Johnson,S Spratt,S Spratt,S Spratt,55.5,57.5,56.5,55,56,54,4,11,1,10,11,5,2,1,2,4,1,1,2,1,2,4,1,1,$2.40,$4.10,$3.70,$9.20,$3.90,$1.90,2,2,1,1,1,1,Speedski,Chocolat,Rough Copy,Persuasive,Sports Illustrated,The Menace,84.41,83,96.13,69.43,84,95.06,2.4,2.3,0.4,0.8,0.8,0.2,1,10,2,$4.80,$1.70,3
10,1600,"$40,000",24-Jan-15,OPN RATING 85 54.00,Trentham,1,8,32055,City Chic,m,6,1,54,Darryl Bradley,,76,Lisa Latta,Awapuni,47,5,9,2,7,"$85,590.00","$1,821",11%,34%,14,46,5,11,1,0,0,0,0,0,12,2,2,8,1,3,10,2,0,8,1,2,17,0,6,13,0,2,3,1,1,6,0,2,3,0,1,2,1,0,16,1,3,2,6%,38%,"$28,115",BB OTAK,TREN,AWAP,TREN,BB AWAP,AWAP,18-Oct-14,25-Oct-14,22-Nov-14,6-Dec-14,26-Dec-14,10-Jan-15,0,0,0,0,0,0,2,3,2,11,5,5,15,13,9,18,9,9,D4,D4,D4,D4,D4,D4,Rating 75 Benchmark,Rating 75 Benchmark,Rating 75 Benchmark,Rating 75 Benchmark,Rating 75 Benchmark,Rating 75 Benchmark,"$18,000","$25,000","$18,000","$30,000","$18,000","$25,000",1400,1600,1400,1600,1300,1400,D Bradley,N Teeluck,N Teeluck,N Teeluck,M Dee,D Bradley,57.5,57.5,57.5,58->,57.5,59,10,4,8,1,6,8,4,7,3,7,4,5,4,7,3,7,3,5,$9.70,$14.20,$5.60,$13.40,$6.60,$16.30,1,1,1,1,1,1,Slice Of Class,Cosmic Cube,Casino,Sanasar,Twoznotenough,Charlestown,82.29,96.7,84.95,96.29,77.7,83.11,1.8,4.1,1.3,6.1,2.2,2.6,1,10,9,$32.90,$7.20,5
10,1600,"$40,000",24-Jan-15,OPN RATING 85 54.00,Trentham,1,9,X1611,Te Hana,m,4,8,54,Johnathon Parkes,,74,Janelle Millar,New Plymouth,11,4,0,1,0,"$42,885.00","$3,898",36%,45%,29,11,4,1,0,0,0,0,0,0,2,0,1,2,0,0,3,1,0,2,1,0,4,3,0,5,1,1,2,1,0,2,0,1,2,0,1,1,1,0,11,4,0,1,36%,45%,"$42,885",HAWE,NPLY,OTAK,WDVL,BB TREN,BB AWAP,16-Jun-14,19-Jul-14,4-Nov-14,19-Nov-14,6-Dec-14,26-Dec-14,0,0,1,2,0,0,6,10,1,6,1,1,13,12,12,14,18,9,S9,S9,D5,D5,D4,D4,Rating 65 Benchmark*,3YO HCP,B.Off Rating 65 Benchmark Fillies and Mares*,Rating 65 Benchmark Fillies and Mares*,B.On Rating 65 Benchmark*,B.Off Rating 75 Benchmark,"$7,000","$40,000","$12,000","$12,000","$30,000","$18,000",1600,1600,1200,1400,1400,1500,R Myers,K Leung,R Myers,R Myers,J Parkes,J Parkes,55,54->,57,58,55.5,54,4,9,11,6,17,7,4,10,5,3,7,1,4,10,7,3,7,1,$11.70,$26.20,$10.00,$7.90,$15.80,$2.80,1,1,2,1,2,2,Power Trip,Moon Tide,Itsagem,Hostage,Beckham,Hot Spot,104.21,100.15,71.46,85.21,82.79,90.59,4,9.4,0.1,1.2,3.8,4.5,1,10,3,$5.10,$1.70,8
10,1600,"$40,000",24-Jan-15,OPN RATING 85 54.00,Trentham,1,10,52212,Endeavour,m,4,5,54,Mark Du Plessis,,65,David & Emma Haworth,Foxton,7,1,3,0,1,"$34,950.00","$4,992",14%,57%,7,7,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,1,1,5,1,1,5,1,2,2,0,0,1,0,1,2,0,1,2,1,1,7,1,3,0,14%,57%,"$34,950",TAUH,BB AWAP,BB RICC,OTAK,BB TREN,TREN,2-Jun-14,1-Nov-14,12-Nov-14,28-Nov-14,6-Dec-14,17-Jan-15,2,1,2,0,0,0,4,5,2,2,1,2,14,12,18,9,17,15,D6,D4,G3,D4,D4,G3,MDN,B.On MDN,MDN,SP COND,SP COND,Rating 65 Benchmark*,"$7,000","$10,000","$30,000","$20,000","$30,000","$30,000",1600,1600,1600,1600,1600,1400,B Lammas,R Hutchings,O Bosson,L Innes,C Grylls,O Bosson,56.5,56.5,56.5,55,55,56.5,9,9,7,8,16,15,6,7,2,3,1,1,6,7,1,3,1,1,$12.40,$13.30,$6.00,$4.60,$4.10,$3.30,1,1,1,1,2,1,Jackfrost,Fried Rice,Libetto,Joanna,Peroni,Stinger,101.12,98.21,98.33,96.36,98.48,82.82,3.6,4.6,0.3,1.3,2.3,2.8,1,10,4,$5.70,$1.90,4
4,1400,20000,31-Jan-15,OPN RATING 85 54.00,Te Rapa,1,1,37143,Elusive Gold,g,5,1,59,Opie Bosson,,82,Baker/Forsman,Cambridge,28,4,6,4,5,59605,2128,0.14,0.5,14,13,1,6,15,3,4,0,0,0,13,3,3,4,0,3,5,1,2,6,0,3,6,0,2,16,1,6,4,1,2,1,0,0,4,0,2,,,,12,1,1,2,0.08,0.33,21470,AVON,ELLS,ELLS,THAM,AWAP,TE R,3-Dec-14,14-Dec-14,26-Dec-14,3-Jan-15,10-Jan-15,17-Jan-15,0,0,0,0,0,0,4,3,7,1,4,3,9,7,12,4,7,8,G3,S7,G3,G2,D4,G3,Rating 85 Benchmark,Rating 85 Benchmark,Rating 85 Benchmark,Rating 85 Benchmark,Rating 85 Benchmark,Rating 85 Benchmark,8000,20000,40000,20000,30000,20000,1400,1400,1400,1200,1200,1300,O Bosson,O Bosson,O Bosson,C Grylls,M Cameron,Z Moki,55.5,55.5,56,55.5,58.5,59->,8,5,12,1,2,2,1,2,7,3,3,4,1,2,6,3,4,4,3.1,5.2,16.1,4.4,5.1,5.7,1,1,1,2,1,1,The Last Shower,To Be Sure,Allez Eagle,Onlyarose,Vincent Street,Black Mascara,83.37,85.95,82.64,69.5,71.01,75.47,2.8,0.7,3,1,2.1,3.2,1,9,3,$5.40,$1.80,7
4,1400,20000,31-Jan-15,OPN RATING 85 54.00,Te Rapa,1,2,9X623,Fiftyshadesofgrey,m,5,4,56,Michael Coleman,,80,O'Sullivan/Scott,Matamata,22,4,4,4,2,46235,2101,0.18,0.55,21,14,3,5,8,1,3,0,0,0,10,3,3,2,1,1,0,0,0,3,1,1,10,0,4,11,2,4,3,0,1,3,1,1,3,1,1,5,3,1,8,1,2,2,0.12,0.62,25085,TE R,MATA,ELLS,TAUR,ELLS,BB ELLS,15-Mar-14,2-Apr-14,12-Apr-14,15-Nov-14,14-Dec-14,10-Jan-15,0,0,0,1,2,0,1,3,9,6,2,3,10,7,9,12,7,8,S7,G3,D5,D6,S7,G3,Rating 75 Benchmark,Rating 85 Benchmark,Rating 85 Benchmark,Rating 85 Benchmark,Rating 85 Benchmark,Rating 85 Benchmark,17000,8000,30000,20000,20000,20000,1400,1400,1400,1200,1400,1400,C Grylls,C Grylls,R Hutchings,M Sweeney,M Coleman,M Coleman,56.5,54.5,55->,55.5,54,55.5,3,7,9,2,4,3,1,1,3,7,3,3,1,1,4,7,3,2,4,2.6,7.6,11.1,5.5,5.9,2,1,1,1,1,1,Red Dakota,Gendarme,Kelly O'Reilly,Salamanca,To Be Sure,Allez Eagle,84.46,83.23,84.18,69.89,85.95,84.01,0.1,0.2,13,3.7,0.2,1.5,1,9,1,$2.40,$1.20,4
4,1400,20000,31-Jan-15,OPN RATING 85 54.00,Te Rapa,1,3,2X116,Dont Gloat,g,6,3,56,Rory Hutchings,(a),76,Allan Sharrock,New Plymouth,13,3,3,1,2,35225,2709,0.23,0.54,21,13,3,4,0,0,0,0,0,0,5,2,1,3,0,1,0,0,0,0,0,0,5,1,2,4,0,1,4,2,1,2,1,0,3,1,1,7,2,3,9,2,3,0,0.22,0.56,28350,NPLY,WGUI,NPLY,WDVL,AWAP,AWAP,10-May-14,31-May-14,5-Jun-14,19-Nov-14,20-Dec-14,10-Jan-15,0,0,0,1,2,0,2,5,2,1,1,6,13,16,11,11,9,7,S9,S9,D6,D5,G3,D4,B.On Rating 65 Benchmark*,Rating 65 Benchmark*,Rating 75 Benchmark,Rating 75 Benchmark,Rating 75 Benchmark,Rating 85 Benchmark,15000,15000,8000,8000,25000,30000,1200,1340,1200,1200,1200,1200,J Riddell,K Chiong,M Cameron,D Turner,D Turner,D Turner,59,59.5,55.5,57->,59->,56->,2,8,4,4,4,3,3,2,1,3,1,2,4,3,1,2,1,2,8.9,7.7,2.8,5.5,3.4,4.3,1,1,1,2,2,1,Dilly,Poneke,Liberating,Elysium,Alice Webb Ellis,Vincent Street,73.21,83.98,72.39,71.5,70.08,71.01,0.9,3.8,0.1,2.8,0.4,4.2,1,9,4,$8.60,$2.00,1
4,1400,20000,31-Jan-15,OPN RATING 85 54.00,Te Rapa,1,4,84037,Frank Whitaker,g,6,9,55.5,Leith Innes,,75,Moira Murdoch,Waiuku,20,4,0,2,3,30360,1518,0.2,0.3,21,3,0,1,17,4,1,0,0,0,6,1,1,4,2,1,4,1,0,1,0,1,6,0,0,2,1,0,5,2,0,4,0,0,5,1,0,4,0,0,7,0,0,1,0,0.14,4250,BB RUAK,ELLS,ELLS,ELLS,ELLS,ELLS,28-Jun-14,6-Sep-14,27-Sep-14,6-Dec-14,28-Dec-14,10-Jan-15,2,0,0,0,0,0,6,8,4,10,3,7,10,9,9,13,9,7,D6,H1,S8,G3,G3,G3,Rating 75 Benchmark,Rating 85 Benchmark,B.On Rating 75 Benchmark,Rating 75 Benchmark,Rating 85 Benchmark,OPN HCP,17000,30000,25000,20000,20000,30000,1200,1200,1200,1200,1200,1200,S McKay,T Thornton,O Bosson,R Myers,K Myers,D Johnson,60.5,55,59,59,54,54,2,3,2,6,3,6,4,7,7,12,9,7,3,7,6,12,9,7,8.3,10.7,12.1,43.7,34.8,15.5,1,1,1,1,1,1,To Be Sure,Airfield Road,Hannah Mary,Allez Eagle,Shezhardtocatch,Shelford (AUS),70.23,79.02,73.23,70.39,69.91,70.2,4.7,13,1.5,4.2,1.1,5,1,9,6,$16.70,$4.10,9
4,1400,20000,31-Jan-15,OPN RATING 85 54.00,Te Rapa,1,5,55X01,Irish Heartbeat,m,5,6,54,Mark Hills,,74,Autridge/Goodwin,Matamata,14,3,2,1,1,36190,2585,0.21,0.43,23,7,2,2,7,1,1,0,0,0,2,1,0,3,0,1,9,2,2,1,0,0,0,0,0,10,3,1,3,0,1,1,0,1,3,2,0,2,1,0,9,1,1,0,0.11,0.22,9765,ROTO,MATA,TE R,ELLS,ELLS,ROTO,30-Jul-14,8-Aug-14,16-Aug-14,6-Sep-14,26-Dec-14,8-Jan-15,0,0,0,0,1,2,6,5,5,5,11,1,13,7,15,8,13,7,S9,H1,S7,H1,G3,G3,Rating 75 Benchmark,Rating 75 Benchmark,Rating 75 Benchmark,B.On Rating 75 Benchmark,B.OffRating 75 Benchmark,Rating 75 Benchmark,17000,8000,17000,25000,40000,8000,1400,1400,1400,1400,1200,1400,M Hills,M Hills,M Hills,M Hills,M Hills,M Hills,56.5,56,55.5,56,55,56.5,3,2,3,5,11,3,3,4,12,6,11,5,2,4,10,6,11,5,7.9,5.3,26.9,9.8,38.9,7.2,1,1,1,1,1,2,Alfonze,The Shackler,Pondarosa Miss,Nottoobad,Adrenaline Rush,Oceania,88.03,89.79,84.85,94.92,69.81,83.25,4.4,7.2,2.9,10.6,9.6,0.8,1,9,5,$16.00,$3.40,3
4,1400,20000,31-Jan-15,OPN RATING 85 54.00,Te Rapa,1,6,51452,So Keep Me,m,6,2,54,Anna Jones,(a2),71,Sharleen Cullen,Te Aroha,28,4,3,3,3,31415,1121,0.14,0.36,22,7,0,1,21,4,5,0,0,0,4,0,0,5,1,2,14,2,2,0,0,0,5,1,2,10,0,3,4,0,0,3,1,1,3,0,2,1,0,0,15,2,3,2,0.13,0.47,20215,BB TAUR,TAUR,TE A,ELLS,TAUR,TAUR,1-Nov-14,15-Nov-14,26-Nov-14,10-Dec-14,2-Jan-15,9-Jan-15,0,0,0,0,0,0,3,5,1,4,5,2,14,10,14,14,13,6,D4,D6,D4,G3,G3,D5,Rating 65 Benchmark*,Rating 65 Benchmark*,Rating 65 Benchmark*,Rating 75 Benchmark,Rating 75 Benchmark,Rating 85 Benchmark,8000,17000,7000,20000,10000,8000,1400,1300,1600,1600,1300,1600,A Jones,M Dee,M Wenn,M Wenn,M Wenn,M Wenn,57.5,59->,56.5,54,54.5,54,12,2,11,11,8,2,11,5,7,12,11,4,11,4,3,12,11,4,24.6,9.4,9,52.2,24.7,6.9,1,1,2,1,1,1,Prince Bruno,Undiscovered,Whatz Occurring,Lucky Feather,Passing Shot,North Of Sunset,83.35,78.01,95.56,96.05,75.66,96.63,0.2,4.8,0.8,2.5,4.9,1.2,1,9,9,$19.80,$4.50,5
